Number;Time;Date;Latitude;Longitude;Altitude;Acc_x;Acc_y;Acc_z;Gyr_x;Gyr_y;Gyr_z;Mag_x;Mag_y;Mag_z
822;08:59:44.173559;20.02.2023;49.2065818432675;18.766918721914642;369.74435285679454;0.012280267683498011;0.04155017638565335;-9.81;0.0;0.0;-4.085620730620576e-13;-1.4419197221857207;17.49801630878526;37.90376449233699
823;08:59:44.273559;20.02.2023;49.20657594524482;18.76691557408276;369.74435285679454;0.028696543239957985;0.09709449858988631;-9.81;0.0;0.0;-8.881784197001252e-15;-1.4419195433516923;17.49801899302698;37.90376128942769
824;08:59:44.373559;20.02.2023;49.20657006914054;18.766912437949745;369.74435285679454;-0.0073193234313418554;-0.02476486567182767;-9.81;0.0;0.0;3.019806626980426e-13;-1.441919365182329;17.498021667293596;37.90375809842049
825;08:59:44.473559;20.02.2023;49.20656429443539;18.766909355935184;369.74435285679454;-0.033860608286459676;-0.11456706670315744;-9.81;0.0;0.0;-1.5543122344752192e-13;-1.4419191900875612;17.498024295412684;37.90375496247724
826;08:59:44.573559;20.02.2023;49.20655846787151;18.766906246243913;369.74435285679454;0.017317344360342837;0.0585930804806694;-9.81;0.0;0.0;-3.9968028886505635e-14;-1.4419190134204591;17.498026947133233;37.903751798371545
827;08:59:44.673559;20.02.2023;49.20655259912272;18.766903114038943;369.74435285679454;0.014086926990274976;0.04766299206688341;-9.81;0.0;0.0;1.1102230246251565e-13;-1.4419188354743462;17.498029618052623;37.90374861135679
828;08:59:44.773559;20.02.2023;49.2065468774555;18.766900060333512;369.74435285679454;-0.04911550491585667;-0.1661818736465044;-9.81;0.0;0.0;2.9309887850104133e-13;-1.4419186619879556;17.498032222033988;37.90374550421372
829;08:59:44.873559;20.02.2023;49.20654116085494;18.76689700933296;369.74435285679454;-0.0016919592742881836;-0.005724729142385128;-9.81;0.0;0.0;-1.199040866595169e-13;-1.441918488655267;17.498034823709567;37.90374239982151
830;08:59:44.973559;20.02.2023;49.20653525287637;18.76689385619304;369.74435285679454;0.06390751907555195;0.21623052187428907;-9.81;0.0;0.0;-3.597122599785507e-13;-1.4419183095198875;17.49803751248309;37.90373919150107
831;08:59:45.073559;20.02.2023;49.20652942042755;18.766890743364797;369.74435285679454;-0.025221955562768707;-0.08533826211560695;-9.81;0.0;0.0;4.3076653355456074e-13;-1.4419181326747148;17.49804016688241;37.90373602419626
832;08:59:45.173559;20.02.2023;49.206523550515094;18.766887610542685;369.74435285679454;0.012510338649669155;0.04232861945155524;-9.81;0.0;0.0;2.708944180085382e-13;-1.4419179546936889;17.49804283833192;37.90373283654628
833;08:59:45.273559;20.02.2023;49.206517717530964;18.7668844974303;369.74435285679454;-0.012331637327843363;-0.041723985119993395;-9.81;0.0;0.0;-6.261657858885883e-13;-1.4419177778324315;17.49804549297511;37.90372966894944
834;08:59:45.373559;20.02.2023;49.20651177282214;18.766881324690335;369.74435285679454;0.03730859484222736;0.12623329851991338;-9.81;0.0;0.0;6.439293542825908e-13;-1.4419175975836651;17.49804819846532;37.90372644067998
835;08:59:45.473559;20.02.2023;49.206506044656216;18.766878267521854;369.74435285679454;-0.07231097360041142;-0.24466353544987568;-9.81;0.0;0.0;-4.75175454539567e-13;-1.441917423900736;17.498050805405025;37.90372333000332
836;08:59:45.573559;20.02.2023;49.206500302555405;18.76687520291696;369.74435285679454;0.004653300715310685;0.015744401545616113;-9.81;0.0;0.0;-3.1530333899354446e-13;-1.4419172497953636;17.498053418686688;37.903720211758674
837;08:59:45.673559;20.02.2023;49.2064946522064;18.76687218728149;369.74435285679454;-0.030639041523483953;-0.10366692423967727;-9.81;0.0;0.0;7.105427357601002e-14;-1.4419170784720516;17.49805599021139;37.903717143339186
838;08:59:45.773559;20.02.2023;49.20648952006134;18.76686768482448;369.74435285679454;1.1086774135618058;-0.5261110976921826;-9.81;0.0;0.0;1.852999186917561;-1.441916814206466;17.498058362456682;37.9037142173938
839;08:59:45.873559;20.02.2023;49.20648421965433;18.766863034751534;369.74435285679454;0.09888722911864344;0.19185833207549577;-9.81;0.0;0.0;-3.019806626980426e-13;-1.4419165412767918;17.49806081247819;37.903711195518206
840;08:59:45.973559;20.02.2023;49.206478978614456;18.76685843676282;369.74435285679454;-0.03489010312142574;-0.06769283607681521;-9.81;0.0;0.0;6.350475700855895e-13;-1.441916271404156;17.49806323505835;37.90370820748855
841;08:59:46.073559;20.02.2023;49.20647363312729;18.76685374714319;369.74435285679454;0.06138342247422584;0.119094458990864;-9.81;0.0;0.0;2.220446049250313e-14;-1.4419159961534043;17.498065705917522;37.90370515991082
842;08:59:46.173559;20.02.2023;49.20646834266603;18.766849105799206;369.74435285679454;-0.03233877107813303;-0.0627428105299413;-9.81;0.0;0.0;-8.837375276016246e-13;-1.44191572373615;17.498068151342014;37.90370214370395
843;08:59:46.273559;20.02.2023;49.206462975176755;18.766844396879385;369.74435285679454;0.045269155846320866;0.08782999394917217;-9.81;0.0;0.0;1.6431300764452317e-13;-1.4419154473526543;17.498070632371416;37.90369908358124
844;08:59:46.373559;20.02.2023;49.20645742590895;18.766839528485782;369.74435285679454;0.10683088196454278;0.2072703928560886;-9.81;0.0;0.0;7.993605777301127e-14;-1.4419151616091017;17.498073197424898;37.903695919822106
845;08:59:46.473559;20.02.2023;49.20645185649375;18.766834642418083;369.74435285679454;0.011840465986620427;0.02297255242599743;-9.81;0.0;0.0;9.769962616701378e-14;-1.441914874828222;17.498075771791246;37.903692744575906
846;08:59:46.573559;20.02.2023;49.20644625802412;18.766829730862135;369.74435285679454;0.01707511899602676;0.03312868486422986;-9.81;0.0;0.0;4.04121180963557e-13;-1.44191458655138;17.498078359587616;37.90368955276457
847;08:59:46.673559;20.02.2023;49.20644058661942;18.766824755321302;369.74435285679454;0.042863723343112295;0.08316303875082073;-9.81;0.0;0.0;-5.551115123125783e-13;-1.4419142945190655;17.498080981096976;37.90368631937069
